Run Fondo;run_fondo_largo;nombre_fm;nombre_corto;vigencia;estado_liquidacion;tipo_fondo;rut_agf;razon_social_agf;fecha_deposito_fm;fecha_modificacion;fecha_inicio_operaciones;num_fecha_resolucion;fecha_cumplimiento_artley;fecha_termino_operaciones;numero_registro
8127;8127-2;FONDO MUTUO BANCHILE UTILIDADES;UTILIDADES;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96767630-6;BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-08-30;2022-10-24;1998-12-05;Res. 220 (05/12/1998);1998-12-05;;FM110197
8941;8941-9;FONDO MUTUO BCI ESTRATEGIA UF HASTA 1 AÑO;FM BCI EST UF H1 AÑO;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96530900-4;BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2019-11-20;2023-06-06;2012-07-10;-;2012-07-12;;FM120574
8986;8986-9;FONDO MUTUO SECURITY MID TERM UF;MID TERM UF;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2022-06-22;2023-09-28;2013-04-15;-;2013-04-30;;FM130619
8991;8991-5;FONDO MUTUO SCOTIA DEUDA CORTO PLAZO UF;CORTO PLAZO UF;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2022-12-12;2023-04-11;2013-06-03;-;2013-06-03;;FM130624
9158;9158-8;FONDO MUTUO SCOTIA CONFIANZA;SCOTIA CONFIANZA;No Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96634320-6;SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.;2015-03-06;2015-09-28;2015-03-06;-;2015-05-04;2021-07-17;FM150897
9222;9222-3;FONDO MUTUO SANTANDER AHORRO MEDIANO PLAZO;AHORRO MP;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2022-01-19;2023-02-17;2015-10-14;-;2015-10-16;;FM150963
9291;9291-6;FONDO MUTUO BANCOESTADO AHORRO CORTO PLAZO;AHORRO CORTO PLAZO;Vigente;;2-FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS;96836390-5;BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS;2019-06-14;2021-04-22;2016-01-29;-;2016-03-18;;FM161032
10000;10000-5;FONDO MUTUO SECURITY QFUND BRAZIL;QFUND BRAZIL;Vigente;;6-FM DE LIBRE INVERSION;96639280-0;ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.;2022-08-24;2023-05-30;2021-03-19;-;2021-03-24;;FM211747
10002;10002-1;FONDO MUTUO LARRAINVIAL CUENTA ACTIVA AGRESIVA DÓLAR;CA AGRESIVA DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96955500-K;LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-09-14;2023-03-10;2021-04-14;-;2021-05-11;;FM211749
10009;10009-9;FONDO MUTUO BICE TEMÁTICO GLOBAL;TEMÁTICO GLOBAL;Vigente;;6-FM DE LIBRE INVERSION;96514410-2;BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-03-09;2022-11-25;2021-03-10;-;2021-03-16;;FM211756
10020;10020-K;FONDO MUTUO ITAU MI CARTERA TRANQUI;CARTERA TRANQUI;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2023-08-23;2023-10-12;2021-03-01;-;2021-03-17;;FM211768
10021;10021-8;FONDO MUTUO ITAU MI CARTERA EXPLORADORA;CARTERA EXPLORADORA;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-05-28;2023-08-23;2021-03-01;-;2021-03-26;;FM211769
10024;10024-2;FONDO MUTUO SANTANDER EQUILIBRIO DÓLAR;EQUILIBRIO DÓLAR;Vigente;;6-FM DE LIBRE INVERSION;96667040-1;SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS;2021-10-07;2022-04-13;2021-03-29;-;2021-04-08;;FM211772
10026;10026-9;FONDO MUTUO BI PROTECCIÓN;BI PROTECCIÓN;Vigente;;6-FM DE LIBRE INVERSION;76930984-5;BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.;2022-12-14;2022-12-23;2021-04-29;-;2021-05-10;;FM211774
10027;10027-7;FONDO MUTUO ITAU LARRAINVIAL AHORRO DOLAR;AHORRO DOLAR;Vigente;;6-FM DE LIBRE INVERSION;96980650-9;ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.;2021-03-11;;2021-04-14;-;2023-02-03;;FM211775
