Run Fondo;serie;fecha;periodo;rent_acumulada
9291;APV;2023-01-31;1M;0.0113
9291;APV;2023-01-31;3M;0.0287
9291;APV;2023-01-31;6M;0.0378
9291;APV;2023-01-31;1Y;0.1178
9291;APV;2023-01-31;YTD;0.0117
9291;APV;2023-02-01;1M;0.0110
9291;APV;2023-02-01;3M;0.0285
9291;APV;2023-02-01;6M;0.0387
9291;APV;2023-02-01;1Y;0.1174
9291;APV;2023-02-01;YTD;0.0118
9291;APV;2023-02-02;1M;0.0109
9291;APV;2023-02-02;3M;0.0283
9291;APV;2023-02-02;6M;0.0382
9291;APV;2023-02-02;1Y;0.1181
9291;APV;2023-02-02;YTD;0.0121
9291;APV;2023-02-03;1M;0.0105
9291;APV;2023-02-03;3M;0.0280
9291;APV;2023-02-03;6M;0.0383
9291;APV;2023-02-03;1Y;0.1181
9291;APV;2023-02-03;YTD;0.0121
9291;APV;2023-02-04;1M;0.0095
9291;APV;2023-02-04;3M;0.0276
9291;APV;2023-02-04;6M;0.0399
9291;APV;2023-02-04;1Y;0.1180
9291;APV;2023-02-04;YTD;0.0123
9291;APV;2023-02-05;1M;0.0088
9291;APV;2023-02-05;3M;0.0275
9291;APV;2023-02-05;6M;0.0410
9291;APV;2023-02-05;1Y;0.1180
9291;APV;2023-02-05;YTD;0.0125
9291;APV;2023-02-06;1M;0.0089
9291;APV;2023-02-06;3M;0.0273
9291;APV;2023-02-06;6M;0.0408
9291;APV;2023-02-06;1Y;0.1178
9291;APV;2023-02-06;YTD;0.0126
9291;APV;2023-02-07;1M;0.0087
9291;APV;2023-02-07;3M;0.0268
9291;APV;2023-02-07;6M;0.0407
9291;APV;2023-02-07;1Y;0.1185
9291;APV;2023-02-07;YTD;0.0128
9291;APV;2023-02-08;1M;0.0101
9291;APV;2023-02-08;3M;0.0298
9291;APV;2023-02-08;6M;0.0413
9291;APV;2023-02-08;1Y;0.1150
9291;APV;2023-02-08;YTD;0.0146
9291;APV;2023-02-09;1M;0.0092
9291;APV;2023-02-09;3M;0.0282
9291;APV;2023-02-09;6M;0.0415
9291;APV;2023-02-09;1Y;0.1154
9291;APV;2023-02-09;YTD;0.0146
9291;APV;2023-02-10;1M;0.0092
9291;APV;2023-02-10;3M;0.0274
9291;APV;2023-02-10;6M;0.0416
9291;APV;2023-02-10;1Y;0.1148
9291;APV;2023-02-10;YTD;0.0147
9291;APV;2023-02-11;1M;0.0088
9291;APV;2023-02-11;3M;0.0276
9291;APV;2023-02-11;6M;0.0424
9291;APV;2023-02-11;1Y;0.1161
9291;APV;2023-02-11;YTD;0.0150
9291;APV;2023-02-12;1M;0.0082
9291;APV;2023-02-12;3M;0.0276
9291;APV;2023-02-12;6M;0.0424
9291;APV;2023-02-12;1Y;0.1160
9291;APV;2023-02-12;YTD;0.0153
9291;APV;2023-02-13;1M;0.0085
9291;APV;2023-02-13;3M;0.0275
9291;APV;2023-02-13;6M;0.0422
9291;APV;2023-02-13;1Y;0.1157
9291;APV;2023-02-13;YTD;0.0155
9291;APV;2023-02-14;1M;0.0087
9291;APV;2023-02-14;3M;0.0262
9291;APV;2023-02-14;6M;0.0422
9291;APV;2023-02-14;1Y;0.1148
9291;APV;2023-02-14;YTD;0.0159
9291;APV;2023-02-15;1M;0.0088
9291;APV;2023-02-15;3M;0.0258
9291;APV;2023-02-15;6M;0.0421
9291;APV;2023-02-15;1Y;0.1154
9291;APV;2023-02-15;YTD;0.0162
9291;APV;2023-02-16;1M;0.0083
9291;APV;2023-02-16;3M;0.0250
9291;APV;2023-02-16;6M;0.0434
9291;APV;2023-02-16;1Y;0.1158
9291;APV;2023-02-16;YTD;0.0165
9291;APV;2023-02-17;1M;0.0087
9291;APV;2023-02-17;3M;0.0254
9291;APV;2023-02-17;6M;0.0448
9291;APV;2023-02-17;1Y;0.1170
9291;APV;2023-02-17;YTD;0.0172
9291;APV;2023-02-18;1M;0.0091
9291;APV;2023-02-18;3M;0.0258
9291;APV;2023-02-18;6M;0.0451
9291;APV;2023-02-18;1Y;0.1173
9291;APV;2023-02-18;YTD;0.0175
9291;APV;2023-02-19;1M;0.0090
9291;APV;2023-02-19;3M;0.0258
9291;APV;2023-02-19;6M;0.0457
9291;APV;2023-02-19;1Y;0.1172
9291;APV;2023-02-19;YTD;0.0179
9291;APV;2023-02-20;1M;0.0090
9291;APV;2023-02-20;3M;0.0258
9291;APV;2023-02-20;6M;0.0456
9291;APV;2023-02-20;1Y;0.1171
9291;APV;2023-02-20;YTD;0.0182
9291;APV;2023-02-21;1M;0.0093
9291;APV;2023-02-21;3M;0.0258
9291;APV;2023-02-21;6M;0.0457
9291;APV;2023-02-21;1Y;0.1176
9291;APV;2023-02-21;YTD;0.0187
9291;APV;2023-02-22;1M;0.0094
9291;APV;2023-02-22;3M;0.0262
9291;APV;2023-02-22;6M;0.0464
9291;APV;2023-02-22;1Y;0.1175
9291;APV;2023-02-22;YTD;0.0190
9291;APV;2023-02-23;1M;0.0091
9291;APV;2023-02-23;3M;0.0266
9291;APV;2023-02-23;6M;0.0463
9291;APV;2023-02-23;1Y;0.1158
9291;APV;2023-02-23;YTD;0.0192
9291;APV;2023-02-24;1M;0.0100
9291;APV;2023-02-24;3M;0.0282
9291;APV;2023-02-24;6M;0.0466
9291;APV;2023-02-24;1Y;0.1154
9291;APV;2023-02-24;YTD;0.0200
9291;APV;2023-02-25;1M;0.0100
9291;APV;2023-02-25;3M;0.0286
9291;APV;2023-02-25;6M;0.0474
9291;APV;2023-02-25;1Y;0.1160
